   time in MHr by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR_CBPF,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CA_Victoria,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CERN,      0.002,      0.002,      0.002,      0.011,      0.004,      0.000,      0.000,      0.009,      0.001,      0.006,      0.000,      0.000,      0.003,      0.001,      0.008,      0.006,      0.003,      0.004,      0.002,      0.008,      0.000,      0.003,      0.006,      0.007,      0.002,      0.003,      0.004,      0.012,      0.000,      0.000,      0.000,      0.112
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ_FZU,      0.000,      0.001,      0.008,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.003,      0.000,      0.000,      0.011,      0.001,      0.022,      0.017,      0.001,      0.012,      0.005,      0.002,      0.004,      0.007,      0.013,      0.001,      0.000,      0.000,      0.004,      0.006,      0.000,      0.000,      0.000,      0.126
ES_CIEMAT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
ES_PIC,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.010,      0.002,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.009,      0.003,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.033
FR_CCIN2P3,      0.000,      0.001,      0.005,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.011,      0.003,      0.001,      0.002,      0.001,      0.001,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.031
IN_TIFR,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.003
IT_CNAF,      0.000,      0.001,      0.006,      0.005,      0.001,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.001,      0.003,      0.002,      0.001,      0.002,      0.001,      0.002,      0.001,      0.000,      0.003,      0.005,      0.000,      0.000,      0.000,      0.040
NL_NIKHEF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.004,      0.007,      0.000,      0.000,      0.000,      0.013
